season,link
2020/2021,/Regions/74/Tournaments/22/Seasons/8185/France-Ligue-1
2019/2020,/Regions/74/Tournaments/22/Seasons/7814/France-Ligue-1
2018/2019,/Regions/74/Tournaments/22/Seasons/7344/France-Ligue-1
2017/2018,/Regions/74/Tournaments/22/Seasons/6833/France-Ligue-1
2016/2017,/Regions/74/Tournaments/22/Seasons/6318/France-Ligue-1
2015/2016,/Regions/74/Tournaments/22/Seasons/5830/France-Ligue-1
2014/2015,/Regions/74/Tournaments/22/Seasons/4279/France-Ligue-1
2013/2014,/Regions/74/Tournaments/22/Seasons/3836/France-Ligue-1
2012/2013,/Regions/74/Tournaments/22/Seasons/3356/France-Ligue-1
2011/2012,/Regions/74/Tournaments/22/Seasons/2920/France-Ligue-1
2010/2011,/Regions/74/Tournaments/22/Seasons/2417/France-Ligue-1
2009/2010,/Regions/74/Tournaments/22/Seasons/1839/France-Ligue-1
2008/2009,/Regions/74/Tournaments/22/Seasons/1520/France-Ligue-1
2007/2008,/Regions/74/Tournaments/22/Seasons/1236/France-Ligue-1
2006/2007,/Regions/74/Tournaments/22/Seasons/677/France-Ligue-1
2005/2006,/Regions/74/Tournaments/22/Seasons/787/France-Ligue-1
2004/2005,/Regions/74/Tournaments/22/Seasons/563/France-Ligue-1
2003/2004,/Regions/74/Tournaments/22/Seasons/394/France-Ligue-1
2002/2003,/Regions/74/Tournaments/22/Seasons/269/France-Ligue-1
2001/2002,/Regions/74/Tournaments/22/Seasons/161/France-Ligue-1
2000/2001,/Regions/74/Tournaments/22/Seasons/63/France-Ligue-1
1999/2000,/Regions/74/Tournaments/22/Seasons/22/France-Ligue-1
