season,link
2020/2021,/Regions/108/Tournaments/5/Seasons/8330/Italy-Serie-A
2019/2020,/Regions/108/Tournaments/5/Seasons/7928/Italy-Serie-A
2018/2019,/Regions/108/Tournaments/5/Seasons/7468/Italy-Serie-A
2017/2018,/Regions/108/Tournaments/5/Seasons/6974/Italy-Serie-A
2016/2017,/Regions/108/Tournaments/5/Seasons/6461/Italy-Serie-A
2015/2016,/Regions/108/Tournaments/5/Seasons/5970/Italy-Serie-A
2014/2015,/Regions/108/Tournaments/5/Seasons/5441/Italy-Serie-A
2013/2014,/Regions/108/Tournaments/5/Seasons/3978/Italy-Serie-A
2012/2013,/Regions/108/Tournaments/5/Seasons/3512/Italy-Serie-A
2011/2012,/Regions/108/Tournaments/5/Seasons/3054/Italy-Serie-A
2010/2011,/Regions/108/Tournaments/5/Seasons/2626/Italy-Serie-A
2009/2010,/Regions/108/Tournaments/5/Seasons/1957/Italy-Serie-A
2008/2009,/Regions/108/Tournaments/5/Seasons/1558/Italy-Serie-A
2007/2008,/Regions/108/Tournaments/5/Seasons/1293/Italy-Serie-A
2006/2007,/Regions/108/Tournaments/5/Seasons/687/Italy-Serie-A
2005/2006,/Regions/108/Tournaments/5/Seasons/857/Italy-Serie-A
2004/2005,/Regions/108/Tournaments/5/Seasons/619/Italy-Serie-A
2003/2004,/Regions/108/Tournaments/5/Seasons/440/Italy-Serie-A
2002/2003,/Regions/108/Tournaments/5/Seasons/319/Italy-Serie-A
2001/2002,/Regions/108/Tournaments/5/Seasons/200/Italy-Serie-A
2000/2001,/Regions/108/Tournaments/5/Seasons/96/Italy-Serie-A
1999/2000,/Regions/108/Tournaments/5/Seasons/5/Italy-Serie-A
