lg,name,screen_name,user_id,followers_count,created_at
laliga,Real Madrid C.F.,realmadrid,14872237,35916197,2008-05-22T19:25:51Z
laliga,FC Barcelona,FCBarcelona,96951800,35250111,2009-12-15T09:53:50Z
epl,Manchester United,ManUtd,558797310,24317211,2012-04-20T15:17:43Z
epl,Arsenal,Arsenal,34613288,16945496,2009-04-23T13:38:19Z
epl,Liverpool FC,LFC,19583545,16327977,2009-01-27T09:05:21Z
epl,Chelsea FC,ChelseaFC,22910295,15937439,2009-03-05T11:54:25Z
epl,Manchester City,ManCity,14573900,8993880,2008-04-28T19:28:08Z
seriea,JuventusFC,juventusfc,253508662,8774365,2011-02-17T11:34:21Z
ligue1,Paris Saint-Germain,PSG_inside,38164846,8575292,2009-05-06T12:14:30Z
seriea,AC Milan,acmilan,186386857,7653129,2010-09-03T09:41:56Z
epl,Tottenham Hotspur,SpursOfficial,121402638,5511587,2010-03-09T11:36:02Z
bund,FC Bayern München,FCBayern,773069256,5264718,2012-08-22T07:10:46Z
laliga,Atlético de Madrid,Atleti,199354750,4811843,2010-10-06T17:12:50Z
bund,Borussia Dortmund,BVB,165699676,3706249,2010-07-12T09:00:00Z
ligue1,Olympique de Marseille,OM_Officiel,40448264,3571486,2009-05-16T11:24:03Z
epl,Everton,Everton,15891449,2355705,2008-08-18T13:36:33Z
seriea,Inter,Inter,124450567,2273080,2010-03-19T12:47:21Z
ligue1,AS Monaco 🇲🇨,AS_Monaco,558572709,2216141,2012-04-20T09:52:44Z
ligue1,Olympique Lyonnais,OL,33893706,1931399,2009-04-21T12:57:18Z
seriea,AS Roma,OfficialASRoma,380570951,1930547,2011-09-26T21:36:17Z
epl,Leicester City,LCFC,122392884,1772424,2010-03-12T15:05:42Z
epl,West Ham United,WestHam,156247074,1769799,2010-06-16T12:03:21Z
seriea,Official SSC Napoli,sscnapoli,454873450,1717361,2012-01-04T13:46:38Z
epl,Newcastle United FC,NUFC,35758259,1646092,2009-04-27T14:44:55Z
epl,Aston Villa,AVFCOfficial,27489253,1515274,2009-03-29T19:48:01Z
ered,AFC Ajax,AFCAjax,153000691,1396539,2010-06-07T12:32:21Z
epl,Southampton FC,SouthamptonFC,46143892,1306929,2009-06-10T15:52:04Z
laliga,Valencia CF 🦇🍊🌊,valenciacf,109312021,1268900,2010-01-28T16:58:09Z
champ,Stoke City FC,stokecity,44335177,1070279,2009-06-03T10:45:46Z
epl,West Bromwich Albion,WBA,280412626,1066891,2011-04-11T08:29:52Z
epl,Crystal Palace F.C.,CPFC,85307509,1041371,2009-10-26T12:52:46Z
champ,Swansea City AFC,SwansOfficial,472385266,1030793,2012-01-23T22:04:57Z
laliga,Sevilla Fútbol Club,SevillaFC,115123104,972596,2010-02-17T17:46:31Z
laliga,Athletic Club,AthleticClub,273933522,892832,2011-03-29T12:10:53Z
ligue1,AS Saint-Étienne,ASSEofficiel,238179126,849347,2011-01-14T15:11:02Z
laliga,Real Betis Balompié 🌴💚,RealBetis,296756458,813698,2011-05-11T10:43:35Z
ligue1,LOSC,losclive,288804720,792440,2011-04-27T14:11:06Z
epl,Wolves,Wolves,49296276,756612,2009-06-21T11:38:45Z
bund,FC Schalke 04,s04,296163037,748413,2011-05-10T09:20:44Z
champ,Watford Football Club 💙,WatfordFC,226590250,734035,2010-12-14T15:24:07Z
champ,Νόριτς Σίτι,NorwichCityFC,187572312,719030,2010-09-06T16:09:24Z
seriea,ACF Fiorentina,acffiorentina,54857969,687027,2009-07-08T10:27:43Z
epl,Leeds United,LUFC,1024095475,675832,2012-12-20T11:43:17Z
laliga,Real Sociedad Fútbol,RealSociedad,390545466,648104,2011-10-14T04:25:30Z
bund,1. FC Köln,fckoeln,130541498,643322,2010-04-07T15:59:42Z
ligue1,FC Nantes,FCNantes,804263442,582112,2012-09-05T09:54:48Z
epl,Fulham Football Club,FulhamFC,22903812,570029,2009-03-05T10:10:44Z
seriea,S.S.Lazio,OfficialSSLazio,424354829,548734,2011-11-29T17:34:52Z
champ,AFC Bournemouth 🍒,afcbournemouth,20880206,547686,2009-02-14T23:42:50Z
epl,Burnley FC,BurnleyOfficial,441309926,539730,2011-12-19T23:41:12Z
bund,VfB Stuttgart,VfB,138401594,525168,2010-04-29T13:02:14Z
laliga,Villarreal CF,VillarrealCF,46862437,517895,2009-06-13T10:05:35Z
bund,SV Werder Bremen,werderbremen,14843692,514706,2008-05-20T11:00:46Z
bund,Borussia,borussia,80790735,510918,2009-10-08T07:20:08Z
ligue1,OGC Nice,ogcnice,329683737,485043,2011-07-05T13:26:17Z
laliga,RC Celta,RCCelta,267975373,467814,2011-03-17T22:44:43Z
ered,PSV,PSV,140414719,467010,2010-05-05T12:39:25Z
champ,QPR FC,QPR,71210107,448527,2009-09-03T08:59:23Z
bund,Bayer 04 Leverkusen,bayer04fussball,180720589,424861,2010-08-20T09:05:50Z
seriea,Torino Football Club,TorinoFC_1906,539085035,423280,2012-03-28T14:21:35Z
laliga,Levante UD 🐸,LevanteUD,34743419,421658,2009-04-23T21:54:06Z
ligue1,FC Girondins de Bordeaux,girondins,154586685,407550,2010-06-11T17:09:40Z
epl,Sheffield United,SheffieldUnited,63463538,397184,2009-08-06T12:14:57Z
seriea,Atalanta B.C.,Atalanta_BC,338995273,392107,2011-07-20T12:31:59Z
laliga,Granada CF ❤️⚪️,GranadaCdeF,188263011,391757,2010-09-08T09:21:26Z
ligue1,MHSC,MontpellierHSC,125332632,379065,2010-03-22T13:33:24Z
epl,Brighton & Hove Albion,OfficialBHAFC,57606154,370602,2009-07-17T10:08:15Z
seriea,Cagliari Calcio,CagliariCalcio,712132014,370158,2012-07-23T09:34:13Z
champ,Nottingham Forest FC 💙,NFFC,39754653,364625,2009-05-13T13:56:14Z
seriea,U.C. Sampdoria,sampdoria,491355440,361669,2012-02-13T15:01:19Z
bund,Hertha BSC,HerthaBSC,105085224,354993,2010-01-15T09:23:37Z
ligue1,Stade Rennais F.C.,staderennais,20447193,351446,2009-02-09T16:45:07Z
laliga,Real Valladolid C.F.,realvalladolid,42411789,350292,2009-05-25T14:14:36Z
champ,Cardiff City FC,CardiffCityFC,40852753,348838,2009-05-18T11:02:52Z
champ,Birmingham City FC,BCFC,60854650,348561,2009-07-28T08:54:33Z
champ,Reading FC,ReadingFC,147919630,346897,2010-05-25T11:24:09Z
