,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report
2020-09-14,Mon,Premier League,Matchweek 1,Away,W 3–1,Chelsea,Brighton,Y,AMRW,79,0,0,0,0,0,0,0,0,33,15,3,1,0,0.0,0.0,0.1,3,1,22,25,88.0,3,23,1,1,3,Match Report
2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–2,Chelsea,Liverpool,Y,FW,45,0,0,0,0,0,0,0,0,23,2,0,0,1,0.0,0.0,0.0,0,0,14,16,87.5,0,16,1,0,1,Match Report
2020-09-23,Wed,EFL Cup,Third round,Home,W 6–0,Chelsea,Barnsley,Y,AM,65,3,0,0,0,4,4,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-09-26,Sat,Premier League,Matchweek 3,Away,D 3–3,Chelsea,West Brom,Y,AMCM,90,0,1,0,0,2,2,0,0,70,18,1,0,3,0.1,0.1,0.2,9,1,52,58,89.7,6,52,5,0,1,Match Report
2020-10-03,Sat,Premier League,Matchweek 4,Home,W 4–0,Chelsea,Crystal Palace,Y,AM,90,0,0,0,0,1,0,0,0,70,16,2,1,0,0.0,0.0,0.2,4,1,42,51,82.4,4,54,8,1,3,Match Report
2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,D 3–3,de Germany,tr Turkey,Y,AM,89,0,2,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2020-10-10,Sat,UEFA Nations League,League A,Away,W 2–1,de Germany,ua Ukraine,N,,1,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2020-10-13,Tue,UEFA Nations League,League A,Home,D 3–3,de Germany,ch Switzerland,Y,FW,76,1,0,0,0,2,1,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2020-10-17,Sat,Premier League,Matchweek 5,Home,D 3–3,Chelsea,Southampton,Y,AM,90,1,0,0,0,3,1,0,0,71,20,0,0,2,0.9,0.9,0.0,0,0,42,49,85.7,6,53,3,1,4,Match Report
2020-10-20,Tue,Champions Lg,Group stage,Home,D 0–0,eng Chelsea,es Sevilla,Y,AM,90,0,0,0,0,0,0,0,0,62,16,5,0,4,0.0,0.0,0.0,1,0,40,49,81.6,0,38,5,1,1,Match Report
2020-10-24,Sat,Premier League,Matchweek 6,Away,D 0–0,Chelsea,Manchester Utd,Y,AM,71,0,0,0,0,0,0,1,0,40,12,1,1,2,0.0,0.0,0.0,1,0,24,29,82.8,3,29,4,2,3,Match Report
2020-10-28,Wed,Champions Lg,Group stage,Away,W 4–0,eng Chelsea,ru Krasnodar,Y,AMDM,90,0,1,0,0,1,0,0,0,77,12,2,1,1,0.1,0.1,0.4,8,1,55,66,83.3,7,57,7,3,5,Match Report
2020-10-31,Sat,Premier League,Matchweek 7,Away,W 3–0,Chelsea,Burnley,Y,CM,85,0,0,0,0,1,1,0,0,70,12,1,1,3,0.0,0.0,0.1,3,0,55,61,90.2,4,58,7,2,4,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
