Category: All categories

Time,super league: (Worldwide)
2021-04-16T01,1
2021-04-16T02,1
2021-04-16T03,1
2021-04-16T04,1
2021-04-16T05,1
2021-04-16T06,1
2021-04-16T07,1
2021-04-16T08,1
2021-04-16T09,1
2021-04-16T10,1
2021-04-16T11,1
2021-04-16T12,1
2021-04-16T13,1
2021-04-16T14,1
2021-04-16T15,1
2021-04-16T16,1
2021-04-16T17,1
2021-04-16T18,<1
2021-04-16T19,<1
2021-04-16T20,<1
2021-04-16T21,<1
2021-04-16T22,<1
2021-04-16T23,1
2021-04-17T00,1
2021-04-17T01,1
2021-04-17T02,1
2021-04-17T03,1
2021-04-17T04,1
2021-04-17T05,1
2021-04-17T06,1
2021-04-17T07,1
2021-04-17T08,1
2021-04-17T09,2
2021-04-17T10,2
2021-04-17T11,2
2021-04-17T12,2
2021-04-17T13,2
2021-04-17T14,1
2021-04-17T15,2
2021-04-17T16,1
2021-04-17T17,1
2021-04-17T18,1
2021-04-17T19,1
2021-04-17T20,<1
2021-04-17T21,<1
2021-04-17T22,1
2021-04-17T23,1
2021-04-18T00,1
2021-04-18T01,1
2021-04-18T02,1
2021-04-18T03,1
2021-04-18T04,1
2021-04-18T05,1
2021-04-18T06,1
2021-04-18T07,2
2021-04-18T08,3
2021-04-18T09,10
2021-04-18T10,23
2021-04-18T11,26
2021-04-18T12,31
2021-04-18T13,30
2021-04-18T14,33
2021-04-18T15,44
2021-04-18T16,57
2021-04-18T17,88
2021-04-18T18,100
2021-04-18T19,70
2021-04-18T20,53
2021-04-18T21,48
2021-04-18T22,46
2021-04-18T23,47
2021-04-19T00,55
2021-04-19T01,67
2021-04-19T02,61
2021-04-19T03,60
2021-04-19T04,61
2021-04-19T05,68
2021-04-19T06,62
2021-04-19T07,58
2021-04-19T08,55
2021-04-19T09,53
2021-04-19T10,54
2021-04-19T11,54
2021-04-19T12,55
2021-04-19T13,60
2021-04-19T14,65
2021-04-19T15,66
2021-04-19T16,65
2021-04-19T17,50
2021-04-19T18,38
2021-04-19T19,29
2021-04-19T20,24
2021-04-19T21,24
2021-04-19T22,23
2021-04-19T23,28
2021-04-20T00,33
2021-04-20T01,38
