year,team,rank,salary
2012,Barcelona,1,8.68
2012,Real Madrid,2,7.80
2012,Manchester City,3,7.40
2012,Chelsea,4,6.80
2012,Milan,5,6.10
2012,Bayern Munich,6,5.91
2013,Manchester City,1,8.06
2013,Real Madrid,2,7.26
2013,Barcelona,3,7.21
2013,Milan,4,6.54
2013,Chelsea,5,6.24
2013,Bayern Munich,6,6.15
2014,Barcelona,3,7.45
2014,Real Madrid,2,7.59
2014,Machester City,1,8.11
2014,Chelsea,6,6.05
2014,Bayern Munich,4,6.96
2014,Macnchester United,5,6.57
2019,Barcelona,1,12.28
2019,Real Madrid,2,11.15
2019,Juventus,3,10.11
2019,Paris Saint-German,4,8.93
2019,Manchester City,5,6.99
2018,Barcelona,1,13.76
2018,Real Madrid,2,10.64
2018,Juventus,3,8.85
2018,Manchester United,4,8.59
2018,Bayern Munich,5,8.36
2018,Atlético Madrid,6,8.10
2018,Paris Saint-German,7,8.03
2018,Manchester City,8,7.89
2017,Barcelona,1,8.58
2017,Paris Saint-German,2,8.41
2017,Real Madrid,3,8.10
2017,Manchester United,4,6.81
2017,Manchester City,5,6.81
2016,Manchester United,1,7.62
2016,Barcelona,2,7.46
2016,Manchester City,3,7.12
2016,Real Madrid,4,6.66
2016,Chelsea,5,5.96
2015,Paris Saint-German,1,9.08
2015,Real Madrid,2,8.64
2015,Manchester City,3,8.60
2015,Barcelona,4,8.08
2015,Manchester United,5,8.02
2015,Bayern Munich,6,7.66
