player_name,team_name,position,mins_played,matches,aerials_won,aerials_lost
"Kevin De Bruyne<span class=""ui-icon country flg-be""></span>","Manchester City, ",",  M(CLR),FW  ",2205	,30	,12	,18	
"Mohamed Salah<span class=""ui-icon country flg-eg""></span>","Liverpool, ",",  AM(CLR),FW  ",2763	,40	,7	,33	
"Son Heung-Min<span class=""ui-icon country flg-kr""></span>","Tottenham, ",",  M(CLR),FW  ",3021	,51	,16	,35	
"Trent Alexander-Arnold<span class=""ui-icon country flg-gb-eng""></span>","Liverpool, ",",  D(R),M(R)  ",2854	,28	,15	,13	
"Kenedy<span class=""ui-icon country flg-br""></span>","Chelsea, ",",  D(L),M(LR)  ",59	,1	,-	,1	
"Harry Kane<span class=""ui-icon country flg-gb-eng""></span>","Tottenham, ",",  AM(C),FW  ",3232	,157	,75	,82	
"Rodri<span class=""ui-icon country flg-es""></span>","Manchester City, ",",  DMC  ",2887	,118	,85	,33	
"Luis Díaz<span class=""ui-icon country flg-co""></span>","Liverpool, ",",  AM(L)  ",964	,31	,15	,16	
"João Cancelo<span class=""ui-icon country flg-pt""></span>","Manchester City, ",",  D(LR),M(R)  ",3228	,108	,57	,51	
"Ben Chilwell<span class=""ui-icon country flg-gb-eng""></span>","Chelsea, ",",  D(L),M(L)  ",541	,17	,7	,10	
"Kieran Trippier<span class=""ui-icon country flg-gb-eng""></span>","Newcastle, ",",  D(R),M(R)  ",430	,15	,10	,5	
"Christian Eriksen<span class=""ui-icon country flg-dk""></span>","Brentford, ",",  M(CLR)  ",938	,11	,5	,6	
"Joel Matip<span class=""ui-icon country flg-cm""></span>","Liverpool, ",",  D(C)  ",2790	,160	,109	,51	
"Phil Foden<span class=""ui-icon country flg-gb-eng""></span>","Manchester City, ",",  AM(CLR),FW  ",2133	,32	,5	,27	
"Sadio Mané<span class=""ui-icon country flg-sn""></span>","Liverpool, ",",  AM(CLR),FW  ",2825	,83	,30	,53	
"Ivan Toney<span class=""ui-icon country flg-gb-eng""></span>","Brentford, ",",  FW  ",2908	,263	,147	,116	
"Bernardo Silva<span class=""ui-icon country flg-pt""></span>","Manchester City, ",",  M(CLR),FW  ",2861	,22	,7	,15	
"Kristoffer Klaesson<span class=""ui-icon country flg-no""></span>","Leeds, ",",  Goalkeeper  ",35	,1	,1	,-	
"Danny Ward<span class=""ui-icon country flg-gb-wls""></span>","Leicester, ",",  GK  ",90	,-	,-	,-	
"Rodrigo Bentancur<span class=""ui-icon country flg-uy""></span>","Tottenham, ",",  M(C)  ",1367	,39	,21	,18	
"Reece James<span class=""ui-icon country flg-gb-eng""></span>","Chelsea, ",",  D(CR),DMC,M(R)  ",1868	,38	,17	,21	
"Ilkay Gündogan<span class=""ui-icon country flg-de""></span>","Manchester City, ",",  M(C)  ",1856	,23	,11	,12	
"Ferran Torres<span class=""ui-icon country flg-es""></span>","Manchester City, ",",  AM(LR),FW  ",305	,5	,4	,1	
"Andrew Robertson<span class=""ui-icon country flg-gb-sct""></span>","Liverpool, ",",  D(L),M(L)  ",2541	,40	,26	,14	
"Gabriel Jesus<span class=""ui-icon country flg-br""></span>","Manchester City, ",",  AM(LR),FW  ",1880	,57	,21	,36	
"Raheem Sterling<span class=""ui-icon country flg-gb-eng""></span>","Manchester City, ",",  M(CLR),FW  ",2127	,23	,4	,19	
"Dejan Kulusevski<span class=""ui-icon country flg-se""></span>","Tottenham, ",",  AM(CR),FW  ",1267	,11	,3	,8	
"Mason Mount<span class=""ui-icon country flg-gb-eng""></span>","Chelsea, ",",  M(CLR)  ",2365	,37	,6	,31	
"Virgil van Dijk<span class=""ui-icon country flg-nl""></span>","Liverpool, ",",  D(C)  ",3060	,151	,117	,34	
"Jack Grealish<span class=""ui-icon country flg-gb-eng""></span>","Manchester City, ",",  AM(CL),FW  ",1917	,42	,14	,28	
"John McGinn<span class=""ui-icon country flg-gb-sct""></span>","Aston Villa, ",",  M(C)  ",3092	,40	,23	,17	
"Zack Steffen<span class=""ui-icon country flg-us""></span>","Manchester City, ",",  GK  ",90	,-	,-	,-	
"Pierre-Emile Højbjerg<span class=""ui-icon country flg-dk""></span>","Tottenham, ",",  M(C)  ",3199	,42	,23	,19	
"Jarrod Bowen<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  AM(CLR),FW  ",2993	,103	,38	,65	
"Cristiano Ronaldo<span class=""ui-icon country flg-pt""></span>","Manchester United, ",",  M(L),FW  ",2459	,110	,42	,68	
"John Stones<span class=""ui-icon country flg-gb-eng""></span>","Manchester City, ",",  D(CR)  ",1118	,58	,47	,11	
"Allan Saint-Maximin<span class=""ui-icon country flg-fr""></span>","Newcastle, ",",  AM(CLR),FW  ",2812	,36	,18	,18	
"Declan Rice<span class=""ui-icon country flg-gb-eng""></span>","West Ham, ",",  D(C),DMC  ",3178	,69	,42	,27	
"Thiago<span class=""ui-icon country flg-es""></span>","Liverpool, ",",  M(C)  ",1538	,44	,32	,12	
"Marcos Alonso<span class=""ui-icon country flg-es""></span>","Chelsea, ",",  D(CL),M(L)  ",2173	,69	,40	,29	
"Diogo Jota<span class=""ui-icon country flg-pt""></span>","Liverpool, ",",  AM(CLR),FW  ",2373	,120	,37	,83	
"Conor Gallagher<span class=""ui-icon country flg-gb-eng""></span>","Crystal Palace, ",",  AM(C)  ",2851	,62	,23	,39	
"James Maddison<span class=""ui-icon country flg-gb-eng""></span>","Leicester, ",",  AM(CLR)  ",2468	,17	,5	,12	
"Moisés Caicedo<span class=""ui-icon country flg-""></span>","Brighton, ",",  M(C)  ",664	,13	,9	,4	
"Thiago Silva<span class=""ui-icon country flg-br""></span>","Chelsea, ",",  D(C)  ",2651	,89	,57	,32	
"Bukayo Saka<span class=""ui-icon country flg-gb-eng""></span>","Arsenal, ",",  D(L),M(CLR)  ",2996	,66	,23	,43	
"Oleksandr Zinchenko<span class=""ui-icon country flg-ua""></span>","Manchester City, ",",  D(L),M(CLR)  ",1045	,32	,15	,17	
"Mateo Kovacic<span class=""ui-icon country flg-hr""></span>","Chelsea, ",",  M(CL)  ",1557	,10	,5	,5	
"Bruno Guimarães<span class=""ui-icon country flg-br""></span>","Newcastle, ",",  DMC  ",1034	,13	,4	,9	
"Bruno Fernandes<span class=""ui-icon country flg-pt""></span>","Manchester United, ",",  M(CLR)  ",3120	,49	,19	,30	
"Trevoh Chalobah<span class=""ui-icon country flg-gb-eng""></span>","Chelsea, ",",  D(CR),DMC  ",1451	,61	,33	,28	
"Konstantinos Tsimikas<span class=""ui-icon country flg-gr""></span>","Liverpool, ",",  D(L)  ",874	,23	,12	,11	
"Caoimhin Kelleher<span class=""ui-icon country flg-ie""></span>","Liverpool, ",",  GK  ",180	,1	,1	,-	
"Kepa Arrizabalaga<span class=""ui-icon country flg-es""></span>","Chelsea, ",",  GK  ",360	,1	,1	,-	
"James Ward-Prowse<span class=""ui-icon country flg-gb-eng""></span>","Southampton, ",",  M(CR)  ",3217	,62	,27	,35	
