venue,capacity
Aces Ballpark,9013
Adams Park,10137
Al Lang Stadium,7851
Allianz Field,19939
American Legion Memorial Stadium,21000
Anfield,53394
Ashton Gate Stadium,27000
Audi Field,20600
AutoZone Park,10000
Avaya Stadium,18000
Banc of California Stadium,24053
BBVA Compass Field,10177
BBVA Compass Stadium,22661
BC Place,54500
Bet365 Stadium,30089
BMO Field,54748
Bobby Dodd Stadium,55297
Bold Stadium,150000
Boleyn Ground,35016
Bramall Lane,32050
Brentford Community Stadium,17250
Camping World Stadium,60147
Cardiff City Stadium,33280
Carrow Road,27359
Cashman Field,10117
CenturyLink Field,69274
Cheney Stadium,32222
Children's Mercy Park,21650
Chukchansi Park,10650
City Stadium,53400
Coolray Field,10427
Craven Cottage,25401
Deepdale Stadium,23408
Dick's Sporting Goods Park,18759
Dignity Health Sports Park,27167
Dillon Stadium,9600
Dr. Mark & Cindy Lynn Soccer Stadium,7025
Elland Road,37792
Emirates Stadium,60383
Etihad Stadium,54693
Ewood Park,31367
Exploria Stadium,25527
Fifth Third Bank Stadium,8318
First Tennessee Park,9083
FIU Soccer Stadium,20000
FNB FIELD,6187
Gillette Stadium,65878
Goodison Park,39598
Goodman Stadium,16000
Griffin Park,12367
H-E-B Park,9735
Highmark Stadium,10584
Hillsborough Stadium,39732
iPro Stadium,33597
Isotopes Park,15247
Kenilworth Road Stadium,10356
King Power Stadium,40000
Kingston Communications Stadium,25400
Liberty Stadium,21088
Lockhart Stadium,18535
Loftus Road Stadium,18439
London Stadium,60000
Louisville Slugger Field,13131
Lower.com Field,20407
Lucas Oil Stadium,67000
Lynn Family Stadium,12115
Macron Stadium,28723
Madejski Stadium,24161
MAPFRE Stadium,22555
Mercedes-Benz Stadium,73019
Merlo Field,4892
Michael A. Carroll Stadium,12111
Molineux Stadium,32050
MSU Soccer Park at Pittser Field,5000
MUSC Health Stadium,5100
New York Stadium,12021
Nippert Stadium,32250
Nissan Stadium,67700
Oakwell Stadium,23287
Old Trafford,75415
Olympic Stadium,61004
ONEOK Field,7833
Orange Country Great Park Soccer Field,23330
Papa Murphy’s Park,11569
Patriots Point Soccer Complex,3900
Phoenix Rising Soccer Complex,9236
Pirelli Stadium,6912
Portman Road Stadium,30311
Providence Park,25518
Q2 Stadium,20738
Red Bull Arena,28118
Riccardo Silva Stadium,20000
Rio Tinto Stadium,21363
Riverside Stadium,34742
Robert F. Kennedy Memorial Stadium,43500
Saputo Stadium,20801
SeatGeek Stadium,21915
Segra Field,5015
Selhurst Park,28467
Shawnee Mission District Stadium,6150
Soldier Field,66944
Southwest University Park,12896
Sportsplex at Matthews,5000
St Andrew's Trillion Trophy Stadium,29656
St. James' Park,52311
St. Mary's Stadium,32384
Stadium mk,30500
Stadium of Light,49000
Stamford Bridge,41837
Stanford Stadium,50850
Subaru Park,19487
Taft Stadium,18200
TCF Bank Stadium,52242
TD Place Stadium,24000
The American Express Community Stadium,31800
The City Ground,30445
The Den,20146
The DW Stadium,25138
The Hawthorns,26688
The John Smith's Stadium,24426
The Valley,27111
Torero Stadium,6100
Tottenham Hotspur Stadium,62850
Toyota Field,8406
Toyota Stadium,19096
Turf Moor,21944
Vicarage Road Stadium,22200
Villa Park,42682
Vitality Stadium,11388
WakeMed Soccer Park,10000
Weidner Field,8023
Wembley Stadium,90000
West End Stadium,26000
White Hart Lane,36284
Yankee Stadium,46537
Zions Bank Stadium,5000
