team_538,team_fbref,team_fbref_stats
AFC Bournemouth,Bournemouth,Bournemouth
Arizona United,Phx Rising,Phoenix Rising
Arsenal,Arsenal,Arsenal
Aston Villa,Aston Villa,Aston Villa
Atlanta United 2,Atlanta 2,Atlanta United
Atlanta United FC,Atlanta Utd,Atlanta United 2
Austin Bold FC,Austin,Austin Bold
Austin FC,Austin FC,Austin FC
Barnsley,Barnsley,Barnsley
Bethlehem Steel FC,Bethlehem,Bethlehem Steel FC
Birmingham,Birmingham City,Birmingham City
Birmingham Legion FC,Birmingham,Birmingham Legion
Blackburn,Blackburn,Blackburn Rovers
Blackpool,Blackpool,Blackpool
Bolton,Bolton,Bolton Wanderers
Brentford,Brentford,Brentford
Brighton and Hove Albion,Brighton,Brighton and Hove Albion
Bristol City,Bristol City,Bristol City
Burnley,Burnley,Burnley
Burton Albion,Burton Albion,Burton Albion
Cardiff City,Cardiff City,Cardiff City
Charleston Battery,Charleston,Charleston Battery
Charlotte FC,Charlotte FC,Charlotte FC
Charlotte Independence,Charlotte,Charlotte Independence
Charlton Athletic,Charlton Ath,Charlton Athletic
Chelsea,Chelsea,Chelsea
Chicago Fire,Chicago Fire,Chicago Fire
Colorado Rapids,Colorado Rapids,Colorado Rapids
Colorado Springs Switchbacks FC,Switchbacks,Colorado Springs Switchbacks
Columbus Crew,Columbus Crew,Columbus Crew
Coventry City,Coventry City,Coventry City
Crystal Palace,Crystal Palace,Crystal Palace
DC United,D.C. United,DC United
Derby County,Derby County,Derby County
Detroit City FC,Detroit City,Detroit City
El Paso Locomotive FC,El Paso,El Paso Locomotive
Everton,Everton,Everton
FC Cincinnati,FC Cincinnati,FC Cincinnati
FC Dallas,FC Dallas,FC Dallas
Fresno FC,Fresno,Fresno FC
Fulham,Fulham,Fulham
Hartford Athletic,Hartford,Hartford Athletic
Houston Dynamo,Houston Dynamo,Houston Dynamo
Huddersfield Town,Huddersfield,Huddersfield Town
Hull City,Hull City,Hull City
Indy Eleven,Indy Eleven,Indy Eleven
Inter Miami CF,Inter Miami,Inter Miami
Ipswich Town,Ipswich Town,Ipswich Town
LA Galaxy II,LA Galaxy II,LA Galaxy II
Las Vegas Lights FC,LV Lights FC,Las Vegas Lights FC
Leeds United,Leeds United,Leeds United
Leicester City,Leicester City,Leicester City
Liverpool,Liverpool,Liverpool
Los Angeles FC,Los Angeles FC,Los Angeles FC
Los Angeles Galaxy,LA Galaxy,LA Galaxy
Loudoun United FC,Loudoun Utd,Loudoun United
Louisville City FC,Louisville City,Louisville City
Luton Town,Luton Town,Luton Town
Manchester City,Manchester City,Manchester City
Manchester United,Manchester Utd,Manchester United
Memphis 901 FC,Memphis,Memphis 901
Miami FC,Miami FC,Miami FC
Middlesbrough,Middlesbrough,Middlesbrough
Millwall,Millwall,Millwall
Minnesota United FC,Minnesota Utd,Minnesota United
Monterey Bay,Monterey Bay,Monterey Bay
Montreal Impact,Montreal Impact,Montreal Impact
