venue,league,team,n,n_team,max_attendance,url,lat,long,capacity,season
ABAX Stadium,EFL Championship,P'borough Utd,23,23,12870,https://en.wikipedia.org/wiki/London_Road_Stadium,52.5646972,-0.24040560000000002,15314,
Aces Ballpark,USL Championship,Reno,45,45,7103,https://en.wikipedia.org/wiki/Greater_Nevada_Field,39.529,-119.80799999999999,9013,
Adams Park,EFL Championship,Wycombe,23,23,2000,https://en.wikipedia.org/wiki/Adams_Park,51.63056,-0.80028,10137,
Al Lang Stadium,USL Championship,Tampa Bay,82,82,7851,https://en.wikipedia.org/wiki/Al_Lang_Stadium,27.768099999999997,-82.6331,7227,
Allianz Field,Major League Soccer,Minnesota Utd,53,53,19939,https://en.wikipedia.org/wiki/Allianz_Field,44.95278,-93.16499999999999,19400,
American Legion Memorial Stadium,USL Championship,Charlotte,17,17,4231,https://en.wikipedia.org/wiki/American_Legion_Memorial_Stadium,35.2182,-80.8283,21000,
Anfield,Premier League,Liverpool,133,133,59925,https://en.wikipedia.org/wiki/Anfield,53.43083,-2.96083,53394,
Ashton Gate Stadium,EFL Championship,Bristol City,161,161,25556,https://en.wikipedia.org/wiki/Ashton_Gate_Stadium,51.44,-2.62028,27000,
Audi Field,Major League Soccer,D.C. United,75,70,20600,https://en.wikipedia.org/wiki/Audi_Field,38.869048,-77.013001,20000,
AutoZone Park,USL Championship,Memphis,58,58,8571,https://en.wikipedia.org/wiki/AutoZone_Park,35.14306,-90.04917,10000,
Avaya Stadium,Major League Soccer,San Jose,99,99,18000,https://en.wikipedia.org/wiki/PayPal_Park,37.351389999999995,-121.925,18000,
Banc of California Stadium,Major League Soccer,Los Angeles FC,75,74,24053,https://en.wikipedia.org/wiki/Banc_of_California_Stadium,34.013,-118.285,23500,
Bank of America Stadium,Major League Soccer,Charlotte FC,9,9,74479,https://en.wikipedia.org/wiki/Bank_of_America_Stadium,35.22583000000001,-80.85277999999998,74867,
BBVA Compass Field,USL Championship,Birmingham,41,41,10177,"https://en.wikipedia.org/wiki/PNC_Field_(Birmingham,_Alabama)",33.49806,-86.8125,5000,
BBVA Compass Stadium,Major League Soccer,Houston Dynamo,108,107,22661,https://en.wikipedia.org/wiki/PNC_Stadium,29.7522,-95.35239999999999,22039,
BC Place,Major League Soccer,Vancouver,91,91,27863,https://en.wikipedia.org/wiki/BC_Place,49.27667,-123.11194,54405,
Bet365 Stadium,EFL Championship,Stoke City,149,92,30022,https://en.wikipedia.org/wiki/Bet365_Stadium,52.988330000000005,-2.17556,30089,
Bloomfield Road,EFL Championship,Blackpool,23,23,15298,https://en.wikipedia.org/wiki/Bloomfield_Road,53.804719999999996,-3.04806,16616,
BMO Field,Major League Soccer,Toronto FC,118,102,54748,https://en.wikipedia.org/wiki/BMO_Field,43.632780000000004,-79.41861000000002,27456,
