team_fotmob,team_understat,url_logo_espn
Arsenal,Arsenal,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
Aston Villa,Aston Villa,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
AFC Bournemouth,Bournemouth,https://a.espncdn.com/i/teamlogos/soccer/500/349.png
Brentford,Brentford,https://a.espncdn.com/i/teamlogos/soccer/500/337.png
Brighton & Hove Albion,Brighton,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
Burnley,Burnley,https://a.espncdn.com/i/teamlogos/soccer/500/379.png
Cardiff City,Cardiff,https://a.espncdn.com/i/teamlogos/soccer/500/347.png
Chelsea,Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
Crystal Palace,Crystal Palace,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
Everton,Everton,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
Fulham,Fulham,https://a.espncdn.com/i/teamlogos/soccer/500/370.png
Hull,Hull City,https://a.espncdn.com/i/teamlogos/soccer/500/306.png
Huddersfield Town,Huddersfield,https://a.espncdn.com/i/teamlogos/soccer/500/335.png
Leeds United,Leeds,https://a.espncdn.com/i/teamlogos/soccer/500/357.png
Leicester City,Leicester,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
Liverpool,Liverpool,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
Manchester City,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
Manchester United,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
Middlesbrough,Middlesbrough,https://a.espncdn.com/i/teamlogos/soccer/500/369.png
Newcastle United,Newcastle United,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
Norwich City,Norwich,https://a.espncdn.com/i/teamlogos/soccer/500/381.png
Nottingham Forest,Nottingham Forest,https://a.espncdn.com/i/teamlogos/soccer/500/393.png
Queens Park Rangers,Queens Park Rangers,https://a.espncdn.com/i/teamlogos/soccer/500/334.png
Sheffield United,Sheffield United,https://a.espncdn.com/i/teamlogos/soccer/500/398.png
Southampton,Southampton,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Stoke City,Stoke,https://a.espncdn.com/i/teamlogos/soccer/500/336.png
Sunderland,Sunderland,https://a.espncdn.com/i/teamlogos/soccer/500/366.png
Swansea City,Swansea,https://a.espncdn.com/i/teamlogos/soccer/500/318.png
Tottenham Hotspur,Tottenham,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
Watford,Watford,https://a.espncdn.com/i/teamlogos/soccer/500/395.png
West Bromwich Albion,West Bromwich Albion,https://a.espncdn.com/i/teamlogos/soccer/500/383.png
West Ham United,West Ham,https://a.espncdn.com/i/teamlogos/soccer/500/371.png
Wolverhampton Wanderers,Wolverhampton Wanderers,https://a.espncdn.com/i/teamlogos/soccer/500/380.png
