player_id,foot,country,tier,gender,season_end_year,player,url
171b3c37,right,USA,1st,M,2021,A.J. DeLaGarza,https://fbref.com//en/players/171b3c37/AJ-DeLaGarza
171b3c37,right,USA,1st,M,2020,A.J. DeLaGarza,https://fbref.com//en/players/171b3c37/AJ-DeLaGarza
171b3c37,right,USA,1st,M,2019,A.J. DeLaGarza,https://fbref.com//en/players/171b3c37/AJ-DeLaGarza
02b952ce,right,ENG,2nd,M,2022,Aapo Halme,https://fbref.com//en/players/02b952ce/Aapo-Halme
02b952ce,right,ENG,2nd,M,2021,Aapo Halme,https://fbref.com//en/players/02b952ce/Aapo-Halme
02b952ce,right,ENG,2nd,M,2020,Aapo Halme,https://fbref.com//en/players/02b952ce/Aapo-Halme
02b952ce,right,ENG,2nd,M,2019,Aapo Halme,https://fbref.com//en/players/02b952ce/Aapo-Halme
fb979733,right,NED,1st,M,2021,Aaron Bastiaans,https://fbref.com//en/players/fb979733/Aaron-Bastiaans
fb979733,right,NED,1st,M,2020,Aaron Bastiaans,https://fbref.com//en/players/fb979733/Aaron-Bastiaans
27c01749,right,ENG,1st,M,2021,Aaron Connolly,https://fbref.com//en/players/27c01749/Aaron-Connolly
27c01749,right,ENG,1st,M,2020,Aaron Connolly,https://fbref.com//en/players/27c01749/Aaron-Connolly
27c01749,right,ENG,1st,M,2019,Aaron Connolly,https://fbref.com//en/players/27c01749/Aaron-Connolly
27c01749,right,ENG,2nd,M,2022,Aaron Connolly,https://fbref.com//en/players/27c01749/Aaron-Connolly
4f974391,left,ENG,1st,M,2022,Aaron Cresswell,https://fbref.com//en/players/4f974391/Aaron-Cresswell
4f974391,left,ENG,1st,M,2021,Aaron Cresswell,https://fbref.com//en/players/4f974391/Aaron-Cresswell
4f974391,left,ENG,1st,M,2020,Aaron Cresswell,https://fbref.com//en/players/4f974391/Aaron-Cresswell
4f974391,left,ENG,1st,M,2019,Aaron Cresswell,https://fbref.com//en/players/4f974391/Aaron-Cresswell
4f974391,left,ENG,1st,M,2018,Aaron Cresswell,https://fbref.com//en/players/4f974391/Aaron-Cresswell
d86e3070,right,USA,1st,M,2021,Aaron Herrera,https://fbref.com//en/players/d86e3070/Aaron-Herrera
d86e3070,right,USA,1st,M,2020,Aaron Herrera,https://fbref.com//en/players/d86e3070/Aaron-Herrera
d86e3070,right,USA,1st,M,2019,Aaron Herrera,https://fbref.com//en/players/d86e3070/Aaron-Herrera
1780bb4a,both,ENG,1st,M,2022,Aaron Hickey,https://fbref.com//en/players/1780bb4a/Aaron-Hickey
1780bb4a,both,ITA,1st,M,2022,Aaron Hickey,https://fbref.com//en/players/1780bb4a/Aaron-Hickey
1780bb4a,both,ITA,1st,M,2021,Aaron Hickey,https://fbref.com//en/players/1780bb4a/Aaron-Hickey
5f9f0531,left,GER,1st,M,2018,Aaron Hunt,https://fbref.com//en/players/5f9f0531/Aaron-Hunt
2ff964a0,right,ENG,1st,M,2021,Aaron Lennon,https://fbref.com//en/players/2ff964a0/Aaron-Lennon
2ff964a0,right,ENG,1st,M,2019,Aaron Lennon,https://fbref.com//en/players/2ff964a0/Aaron-Lennon
2ff964a0,right,ENG,1st,M,2018,Aaron Lennon,https://fbref.com//en/players/2ff964a0/Aaron-Lennon
29ef0f49,right,FRA,1st,M,2021,Aaron Leya Iseka,https://fbref.com//en/players/29ef0f49/Aaron-Leya-Iseka
29ef0f49,right,FRA,1st,M,2020,Aaron Leya Iseka,https://fbref.com//en/players/29ef0f49/Aaron-Leya-Iseka
29ef0f49,right,FRA,1st,M,2019,Aaron Leya Iseka,https://fbref.com//en/players/29ef0f49/Aaron-Leya-Iseka
29ef0f49,right,ENG,2nd,M,2022,Aaron Leya Iseka,https://fbref.com//en/players/29ef0f49/Aaron-Leya-Iseka
46b89640,right,USA,1st,M,2021,Aaron Long,https://fbref.com//en/players/46b89640/Aaron-Long
46b89640,right,USA,1st,M,2020,Aaron Long,https://fbref.com//en/players/46b89640/Aaron-Long
46b89640,right,USA,1st,M,2019,Aaron Long,https://fbref.com//en/players/46b89640/Aaron-Long
3cd63173,left,NED,1st,M,2022,Aaron Meijers,https://fbref.com//en/players/3cd63173/Aaron-Meijers
3cd63173,left,NED,1st,M,2021,Aaron Meijers,https://fbref.com//en/players/3cd63173/Aaron-Meijers
3cd63173,left,NED,1st,M,2020,Aaron Meijers,https://fbref.com//en/players/3cd63173/Aaron-Meijers
3cd63173,left,NED,1st,M,2019,Aaron Meijers,https://fbref.com//en/players/3cd63173/Aaron-Meijers
47b7e3af,right,ENG,1st,M,2019,Aaron Mooy,https://fbref.com//en/players/47b7e3af/Aaron-Mooy
47b7e3af,right,ENG,1st,M,2018,Aaron Mooy,https://fbref.com//en/players/47b7e3af/Aaron-Mooy
47b7e3af,right,ENG,2nd,M,2020,Aaron Mooy,https://fbref.com//en/players/47b7e3af/Aaron-Mooy
466fb2c5,right,ENG,1st,M,2022,Aaron Ramsdale,https://fbref.com//en/players/466fb2c5/Aaron-Ramsdale
466fb2c5,right,ENG,1st,M,2021,Aaron Ramsdale,https://fbref.com//en/players/466fb2c5/Aaron-Ramsdale
466fb2c5,right,ENG,1st,M,2020,Aaron Ramsdale,https://fbref.com//en/players/466fb2c5/Aaron-Ramsdale
466fb2c5,right,ENG,1st,M,2019,Aaron Ramsdale,https://fbref.com//en/players/466fb2c5/Aaron-Ramsdale
466fb2c5,right,ENG,2nd,M,2022,Aaron Ramsdale,https://fbref.com//en/players/466fb2c5/Aaron-Ramsdale
ef619b0b,right,ENG,1st,M,2018,Aaron Ramsey,https://fbref.com//en/players/ef619b0b/Aaron-Ramsey
ef619b0b,right,ITA,1st,M,2022,Aaron Ramsey,https://fbref.com//en/players/ef619b0b/Aaron-Ramsey
ef619b0b,right,ITA,1st,M,2021,Aaron Ramsey,https://fbref.com//en/players/ef619b0b/Aaron-Ramsey
ef619b0b,right,ITA,1st,M,2020,Aaron Ramsey,https://fbref.com//en/players/ef619b0b/Aaron-Ramsey
8ce9cfdd,right,POR,1st,M,2020,Aaron Tshibola,https://fbref.com//en/players/8ce9cfdd/Aaron-Tshibola
9e525177,right,ENG,1st,M,2022,Aaron Wan-Bissaka,https://fbref.com//en/players/9e525177/Aaron-Wan-Bissaka
9e525177,right,ENG,1st,M,2021,Aaron Wan-Bissaka,https://fbref.com//en/players/9e525177/Aaron-Wan-Bissaka
9e525177,right,ENG,1st,M,2020,Aaron Wan-Bissaka,https://fbref.com//en/players/9e525177/Aaron-Wan-Bissaka
9e525177,right,ENG,1st,M,2019,Aaron Wan-Bissaka,https://fbref.com//en/players/9e525177/Aaron-Wan-Bissaka
9e525177,right,ENG,1st,M,2018,Aaron Wan-Bissaka,https://fbref.com//en/players/9e525177/Aaron-Wan-Bissaka
67669ce7,right,ESP,1st,M,2022,Aarón Escandell,https://fbref.com//en/players/67669ce7/Aaron-Escandell
67669ce7,right,ESP,1st,M,2021,Aarón Escandell,https://fbref.com//en/players/67669ce7/Aaron-Escandell
67669ce7,right,ESP,1st,M,2020,Aarón Escandell,https://fbref.com//en/players/67669ce7/Aaron-Escandell
2f3e911a,left,ESP,1st,M,2021,Aarón Martín,https://fbref.com//en/players/2f3e911a/Aaron-Martin
2f3e911a,left,ESP,1st,M,2018,Aarón Martín,https://fbref.com//en/players/2f3e911a/Aaron-Martin
2f3e911a,left,GER,1st,M,2022,Aarón Martín,https://fbref.com//en/players/2f3e911a/Aaron-Martin
2f3e911a,left,GER,1st,M,2021,Aarón Martín,https://fbref.com//en/players/2f3e911a/Aaron-Martin
2f3e911a,left,GER,1st,M,2020,Aarón Martín,https://fbref.com//en/players/2f3e911a/Aaron-Martin
2f3e911a,left,GER,1st,M,2019,Aarón Martín,https://fbref.com//en/players/2f3e911a/Aaron-Martin
fe68a954,right,POR,1st,M,2022,Abbas Ibrahim,https://fbref.com//en/players/fe68a954/Abbas-Ibrahim
fe68a954,right,POR,1st,M,2021,Abbas Ibrahim,https://fbref.com//en/players/fe68a954/Abbas-Ibrahim
d2fb8712,right,ENG,1st,F,2022,Abbey-Leigh Stringer,https://fbref.com//en/players/d2fb8712/Abbey-Leigh-Stringer
d2fb8712,right,ENG,1st,F,2021,Abbey-Leigh Stringer,https://fbref.com//en/players/d2fb8712/Abbey-Leigh-Stringer
d2fb8712,right,ENG,1st,F,2020,Abbey-Leigh Stringer,https://fbref.com//en/players/d2fb8712/Abbey-Leigh-Stringer
d2fb8712,right,ENG,1st,F,2019,Abbey-Leigh Stringer,https://fbref.com//en/players/d2fb8712/Abbey-Leigh-Stringer
a78931f2,right,ENG,1st,F,2022,Abbi Grant,https://fbref.com//en/players/a78931f2/Abbi-Grant
a78931f2,right,ENG,1st,F,2021,Abbi Grant,https://fbref.com//en/players/a78931f2/Abbi-Grant
a78931f2,right,ENG,1st,F,2020,Abbi Grant,https://fbref.com//en/players/a78931f2/Abbi-Grant
6b4fff19,right,ENG,1st,F,2022,Abbie McManus,https://fbref.com//en/players/6b4fff19/Abbie-McManus
6b4fff19,right,ENG,1st,F,2021,Abbie McManus,https://fbref.com//en/players/6b4fff19/Abbie-McManus
6b4fff19,right,ENG,1st,F,2020,Abbie McManus,https://fbref.com//en/players/6b4fff19/Abbie-McManus
6b4fff19,right,ENG,1st,F,2019,Abbie McManus,https://fbref.com//en/players/6b4fff19/Abbie-McManus
52b58405,right,ENG,1st,F,2021,Abby Dahlkemper,https://fbref.com//en/players/52b58405/Abby-Dahlkemper
52b58405,right,USA,1st,F,2022,Abby Dahlkemper,https://fbref.com//en/players/52b58405/Abby-Dahlkemper
52b58405,right,USA,1st,F,2021,Abby Dahlkemper,https://fbref.com//en/players/52b58405/Abby-Dahlkemper
52b58405,right,USA,1st,F,2019,Abby Dahlkemper,https://fbref.com//en/players/52b58405/Abby-Dahlkemper
c34e49ab,right,USA,1st,F,2022,Abby Erceg,https://fbref.com//en/players/c34e49ab/Abby-Erceg
c34e49ab,right,USA,1st,F,2021,Abby Erceg,https://fbref.com//en/players/c34e49ab/Abby-Erceg
c34e49ab,right,USA,1st,F,2019,Abby Erceg,https://fbref.com//en/players/c34e49ab/Abby-Erceg
4749367a,left,FRA,1st,M,2020,Abdallah N'dour,https://fbref.com//en/players/4749367a/Abdallah-Ndour
4749367a,left,FRA,1st,M,2019,Abdallah N'dour,https://fbref.com//en/players/4749367a/Abdallah-Ndour
4749367a,left,FRA,1st,M,2018,Abdallah N'dour,https://fbref.com//en/players/4749367a/Abdallah-Ndour
fdbde523,right,ENG,2nd,M,2022,Abdallah Sima,https://fbref.com//en/players/fdbde523/Abdallah-Sima
4937a9f7,right,FRA,1st,M,2022,Abdel Jalil Medioub,https://fbref.com//en/players/4937a9f7/Abdel-Jalil-Medioub
4937a9f7,right,POR,1st,M,2021,Abdel Jalil Medioub,https://fbref.com//en/players/4937a9f7/Abdel-Jalil-Medioub
4830e0af,right,ENG,1st,M,2018,Abdelhamid Sabiri,https://fbref.com//en/players/4830e0af/Abdelhamid-Sabiri
4830e0af,right,GER,1st,M,2020,Abdelhamid Sabiri,https://fbref.com//en/players/4830e0af/Abdelhamid-Sabiri
4830e0af,right,ITA,1st,M,2022,Abdelhamid Sabiri,https://fbref.com//en/players/4830e0af/Abdelhamid-Sabiri
e5ec1410,right,NED,1st,M,2022,Abdenasser El Khayati,https://fbref.com//en/players/e5ec1410/Abdenasser-El-Khayati
e5ec1410,right,NED,1st,M,2021,Abdenasser El Khayati,https://fbref.com//en/players/e5ec1410/Abdenasser-El-Khayati
e5ec1410,right,NED,1st,M,2019,Abdenasser El Khayati,https://fbref.com//en/players/e5ec1410/Abdenasser-El-Khayati
bed68338,right,ESP,1st,M,2022,Abdessamad Ezzalzouli,https://fbref.com//en/players/bed68338/Abdessamad-Ezzalzouli
661c4991,both,POR,1st,M,2019,Abdiel Arroyo,https://fbref.com//en/players/661c4991/Abdiel-Arroyo
fc62f087,left,FRA,1st,M,2022,Abdou Diallo,https://fbref.com//en/players/fc62f087/Abdou-Diallo
fc62f087,left,FRA,1st,M,2021,Abdou Diallo,https://fbref.com//en/players/fc62f087/Abdou-Diallo
fc62f087,left,FRA,1st,M,2020,Abdou Diallo,https://fbref.com//en/players/fc62f087/Abdou-Diallo
fc62f087,left,GER,1st,M,2019,Abdou Diallo,https://fbref.com//en/players/fc62f087/Abdou-Diallo
fc62f087,left,GER,1st,M,2018,Abdou Diallo,https://fbref.com//en/players/fc62f087/Abdou-Diallo
65fd099c,right,ITA,1st,M,2022,Abdou Harroui,https://fbref.com//en/players/65fd099c/Abdou-Harroui
65fd099c,right,NED,1st,M,2022,Abdou Harroui,https://fbref.com//en/players/65fd099c/Abdou-Harroui
65fd099c,right,NED,1st,M,2021,Abdou Harroui,https://fbref.com//en/players/65fd099c/Abdou-Harroui
65fd099c,right,NED,1st,M,2020,Abdou Harroui,https://fbref.com//en/players/65fd099c/Abdou-Harroui
8e809937,right,ITA,1st,M,2019,Abdou Lahat Diakhate,https://fbref.com//en/players/8e809937/Abdou-Lahat-Diakhate
07296190,left,FRA,1st,M,2018,Abdoul Camara,https://fbref.com//en/players/07296190/Abdoul-Camara
32f3d97e,right,FRA,1st,M,2021,Abdoul Kader Bamba,https://fbref.com//en/players/32f3d97e/Abdoul-Kader-Bamba
32f3d97e,right,FRA,1st,M,2020,Abdoul Kader Bamba,https://fbref.com//en/players/32f3d97e/Abdoul-Kader-Bamba
23c5db70,left,ESP,1st,M,2021,Abdoulay Diaby,https://fbref.com//en/players/23c5db70/Abdoulay-Diaby
23c5db70,left,POR,1st,M,2020,Abdoulay Diaby,https://fbref.com//en/players/23c5db70/Abdoulay-Diaby
23c5db70,left,POR,1st,M,2019,Abdoulay Diaby,https://fbref.com//en/players/23c5db70/Abdoulay-Diaby
1f54ed90,right,ESP,1st,M,2019,Abdoulaye Ba,https://fbref.com//en/players/1f54ed90/Abdoulaye-Ba
1f54ed90,right,POR,1st,M,2022,Abdoulaye Ba,https://fbref.com//en/players/1f54ed90/Abdoulaye-Ba
1f54ed90,right,POR,1st,M,2021,Abdoulaye Ba,https://fbref.com//en/players/1f54ed90/Abdoulaye-Ba
ee95585f,both,FRA,1st,M,2022,Abdoulaye Bakayoko,https://fbref.com//en/players/ee95585f/Abdoulaye-Bakayoko
7fecbcdb,right,FRA,1st,M,2022,Abdoulaye Bamba,https://fbref.com//en/players/7fecbcdb/Abdoulaye-Bamba
7fecbcdb,right,FRA,1st,M,2021,Abdoulaye Bamba,https://fbref.com//en/players/7fecbcdb/Abdoulaye-Bamba
7fecbcdb,right,FRA,1st,M,2020,Abdoulaye Bamba,https://fbref.com//en/players/7fecbcdb/Abdoulaye-Bamba
7fecbcdb,right,FRA,1st,M,2019,Abdoulaye Bamba,https://fbref.com//en/players/7fecbcdb/Abdoulaye-Bamba
7fecbcdb,right,FRA,1st,M,2018,Abdoulaye Bamba,https://fbref.com//en/players/7fecbcdb/Abdoulaye-Bamba
52a6ef30,right,USA,1st,M,2021,Abdoulaye Cissoko,https://fbref.com//en/players/52a6ef30/Abdoulaye-Cissoko
797f6070,left,FRA,1st,M,2019,Abdoulaye Dabo,https://fbref.com//en/players/797f6070/Abdoulaye-Dabo
26383ea5,right,FRA,1st,M,2019,Abdoulaye Diallo,https://fbref.com//en/players/26383ea5/Abdoulaye-Diallo
26383ea5,right,FRA,1st,M,2018,Abdoulaye Diallo,https://fbref.com//en/players/26383ea5/Abdoulaye-Diallo
02b29014,right,ENG,1st,M,2022,Abdoulaye Doucouré,https://fbref.com//en/players/02b29014/Abdoulaye-Doucoure
02b29014,right,ENG,1st,M,2021,Abdoulaye Doucouré,https://fbref.com//en/players/02b29014/Abdoulaye-Doucoure
02b29014,right,ENG,1st,M,2020,Abdoulaye Doucouré,https://fbref.com//en/players/02b29014/Abdoulaye-Doucoure
02b29014,right,ENG,1st,M,2019,Abdoulaye Doucouré,https://fbref.com//en/players/02b29014/Abdoulaye-Doucoure
02b29014,right,ENG,1st,M,2018,Abdoulaye Doucouré,https://fbref.com//en/players/02b29014/Abdoulaye-Doucoure
a13028f6,right,FRA,1st,M,2021,Abdoulaye Sidibé,https://fbref.com//en/players/a13028f6/Abdoulaye-Sidibe
