season,link
2020/2021,/Regions/206/Tournaments/4/Seasons/8321/Spain-LaLiga
2019/2020,/Regions/206/Tournaments/4/Seasons/7889/Spain-LaLiga
2018/2019,/Regions/206/Tournaments/4/Seasons/7466/Spain-LaLiga
2017/2018,/Regions/206/Tournaments/4/Seasons/6960/Spain-LaLiga
2016/2017,/Regions/206/Tournaments/4/Seasons/6436/Spain-LaLiga
2015/2016,/Regions/206/Tournaments/4/Seasons/5933/Spain-LaLiga
2014/2015,/Regions/206/Tournaments/4/Seasons/5435/Spain-LaLiga
2013/2014,/Regions/206/Tournaments/4/Seasons/3922/Spain-LaLiga
2012/2013,/Regions/206/Tournaments/4/Seasons/3470/Spain-LaLiga
2011/2012,/Regions/206/Tournaments/4/Seasons/3004/Spain-LaLiga
2010/2011,/Regions/206/Tournaments/4/Seasons/2596/Spain-LaLiga
2009/2010,/Regions/206/Tournaments/4/Seasons/1929/Spain-LaLiga
2008/2009,/Regions/206/Tournaments/4/Seasons/1562/Spain-LaLiga
2007/2008,/Regions/206/Tournaments/4/Seasons/1297/Spain-LaLiga
2006/2007,/Regions/206/Tournaments/4/Seasons/693/Spain-LaLiga
2005/2006,/Regions/206/Tournaments/4/Seasons/861/Spain-LaLiga
2004/2005,/Regions/206/Tournaments/4/Seasons/610/Spain-LaLiga
2003/2004,/Regions/206/Tournaments/4/Seasons/442/Spain-LaLiga
2002/2003,/Regions/206/Tournaments/4/Seasons/308/Spain-LaLiga
2001/2002,/Regions/206/Tournaments/4/Seasons/201/Spain-LaLiga
2000/2001,/Regions/206/Tournaments/4/Seasons/94/Spain-LaLiga
1999/2000,/Regions/206/Tournaments/4/Seasons/4/Spain-LaLiga
